PING 159.203.34.102 (159.203.34.102) 56(84) bytes of data.
64 bytes from 159.203.34.102: icmp_seq=1 ttl=64 time=0.033 ms
64 bytes from 159.203.34.102: icmp_seq=2 ttl=64 time=0.060 ms
64 bytes from 159.203.34.102: icmp_seq=3 ttl=64 time=0.073 ms
64 bytes from 159.203.34.102: icmp_seq=4 ttl=64 time=0.065 ms
64 bytes from 159.203.34.102: icmp_seq=5 ttl=64 time=0.068 ms
64 bytes from 159.203.34.102: icmp_seq=6 ttl=64 time=0.055 ms
64 bytes from 159.203.34.102: icmp_seq=7 ttl=64 time=0.083 ms
64 bytes from 159.203.34.102: icmp_seq=8 ttl=64 time=0.061 ms
64 bytes from 159.203.34.102: icmp_seq=9 ttl=64 time=0.071 ms
64 bytes from 159.203.34.102: icmp_seq=10 ttl=64 time=0.070 ms
